PKUID,ID,ROW,COL,SS,bay_heads_GHB_index
8951,0,11,51,0.245520508848131,1
8952,0,11,52,0.249585290206596,1
8953,0,11,53,0.255618704250082,1
8954,0,11,54,0.263831823132932,1
8955,0,11,55,0.271776969078928,1
8956,0,11,56,0.278913435526192,1
8957,0,11,57,0.287421960849315,1
8958,0,11,58,0.294261871371418,1
8959,0,11,59,0.299560042563826,1
8960,0,11,60,0.305809278506786,1
8961,0,11,61,0.311508710496128,1
8962,0,11,62,0.316541851963848,1
8963,0,11,63,0.320321094244719,1
8964,0,11,64,0.32233355846256,1
8965,0,11,65,0.323044580407441,1
8966,0,11,66,0.323372148908675,1
8967,0,11,67,0.324008582625538,1
8968,0,11,68,0.325021028053015,1
8969,0,11,69,0.325984135270119,1
8970,0,11,70,0.32685970980674,1
8971,0,11,71,0.328222665470093,1
8972,0,11,72,0.328441301826388,1
8973,0,11,73,0.327548427507281,1
8974,0,11,74,0.326381293591112,1
8975,0,11,75,0.323564129881561,1
8976,0,11,76,0.322056353092194,1
8977,0,11,77,0.322732513770461,1
8978,0,11,78,0.324824946932495,1
8979,0,11,79,0.326243526767939,1
8980,0,11,80,0.326838562265038,1
8981,0,11,81,0.32698184158653,1
8982,0,11,82,0.326667216140777,1
8983,0,11,83,0.326151764485985,1
8984,0,11,84,0.325589920859784,1
8985,0,11,85,0.325210955925286,1
8986,0,11,86,0.325008468702435,1
8987,0,11,87,0.325240562204272,1
8988,0,11,88,0.325845214072615,1
8989,0,11,89,0.326946088112891,1
8990,0,11,90,0.328464888036251,1
8991,0,11,91,0.330055962316692,1
8992,0,11,92,0.332065093331039,1
8993,0,11,93,0.333913000766188,1
8994,0,11,94,0.336032861843705,1
8995,0,11,95,0.338037375360727,1
8996,0,11,96,0.339629864320159,1
8997,0,11,97,0.341045752167702,1
8998,0,11,98,0.341900312807411,1
8999,0,11,99,0.342428062111139,1
9000,0,11,100,0.342520462349057,1
9001,0,10,1,0.968935345299542,1
9002,0,10,2,0.965872120112181,1
9003,0,10,3,0.96255309227854,1
9004,0,10,4,0.958366682752967,1
9005,0,10,5,0.953427352942526,1
9006,0,10,6,0.948374727740884,1
9007,0,10,7,0.941726547665894,1
9008,0,10,8,0.933977741748095,1
9009,0,10,9,0.925994540564716,1
9010,0,10,10,0.915173915214837,1
9011,0,10,11,0.903612663969398,1
9012,0,10,12,0.887355079874396,1
9013,0,10,13,0.867872279137373,1
9014,0,10,14,0.848734089173377,1
9015,0,10,15,0.825586088001728,1
9016,0,10,16,0.805159791372716,1
9017,0,10,17,0.781553887762129,1
9018,0,10,18,0.758042953908443,1
9019,0,10,19,0.736858209595084,1
9020,0,10,20,0.710924967192113,1
9021,0,10,21,0.681136982515454,1
9022,0,10,22,0.650225698947906,1
9023,0,10,23,0.608095488511026,1
9024,0,10,24,0.567362709902227,1
9025,0,10,25,0.518428080249578,1
9026,0,10,26,0.46848959941417,1
9027,0,10,27,0.425870846956968,1
9028,0,10,28,0.380556673742831,1
9029,0,10,29,0.340028181206435,1
9030,0,10,30,0.312066324520856,1
9031,0,10,31,0.289210404269397,1
9032,0,10,32,0.273590787313879,1
9033,0,10,33,0.259878155542538,1
9034,0,10,34,0.250365772983059,1
9035,0,10,35,0.244432321283966,1
9036,0,10,36,0.239893994759768,1
9037,0,10,37,0.238297405419871,1
9038,0,10,38,0.239637294784188,1
9039,0,10,39,0.244341456796974,1
9040,0,10,40,0.252014649566263,1
9041,0,10,41,0.256696639349684,1
9042,0,10,42,0.260414241114631,1
9043,0,10,43,0.264017655514181,1
9044,0,10,44,0.268542264122516,1
9045,0,10,45,0.271927169524133,1
9046,0,10,46,0.273924893699586,1
9047,0,10,47,0.276574810035527,1
9048,0,10,48,0.278614826966077,1
9049,0,10,49,0.279276763554662,1
9050,0,10,50,0.279938954859972,1
9051,0,10,51,0.281040342058986,1
9052,0,10,52,0.282401636708528,1
9053,0,10,53,0.284675281960517,1
9054,0,10,54,0.288848099298775,1
9055,0,10,55,0.293129598256201,1
9056,0,10,56,0.297374570742249,1
9057,0,10,57,0.303029531147331,1
9058,0,10,58,0.306999861262739,1
9059,0,10,59,0.309503166470677,1
9060,0,10,60,0.312536790501326,1
9061,0,10,61,0.315760089550167,1
9062,0,10,62,0.31809589266777,1
9063,0,10,63,0.320947147905827,1
9064,0,10,64,0.323320885654539,1
9065,0,10,65,0.324928243644536,1
9066,0,10,66,0.326145099941641,1
9067,0,10,67,0.327264045830816,1
9068,0,10,68,0.328190626110882,1
9069,0,10,69,0.328632770571858,1
9070,0,10,70,0.329084270168096,1
9071,0,10,71,0.329339051153511,1
9072,0,10,72,0.328991232439876,1
9073,0,10,73,0.327995058149099,1
9074,0,10,74,0.326649015769362,1
9075,0,10,75,0.324294373393059,1
9076,0,10,76,0.32301317807287,1
9077,0,10,77,0.323451349511743,1
9078,0,10,78,0.324892484582961,1
