PKUID,ID,ROW,COL,SS,seawater_heads_GHB_GHB_INDEX
470,0,96,70,7.38997633755207,1
471,0,96,71,7.21414598822594,1
472,0,96,72,7.07417217642069,1
473,0,96,73,6.93748760968447,1
474,0,96,74,6.82402262836695,1
475,0,96,75,6.70231337845325,1
476,0,96,76,6.48018055409193,1
477,0,96,77,6.15762440115213,1
478,0,96,78,5.7910463064909,1
479,0,96,79,5.45333622395992,1
480,0,96,80,5.1847435310483,1
481,0,96,81,4.87119869887829,1
482,0,96,82,4.56454265862703,1
483,0,96,83,4.29550848156214,1
484,0,96,84,3.98339816555381,1
485,0,96,85,3.70528957620263,1
486,0,96,86,3.42233635112643,1
487,0,96,87,3.23366934433579,1
488,0,96,88,3.08493630960584,1
489,0,96,89,2.83940541371703,1
490,0,96,90,2.55548011884093,1
491,0,96,91,2.2836296018213,1
492,0,96,92,1.90561248362064,1
493,0,96,93,1.50260511413217,1
494,0,96,94,0.974142006598413,1
495,0,96,95,0.356452761043329,1
496,0,96,96,-0.381847616321465,1
497,0,96,97,-1.85182772297412,1
498,0,96,98,-3.19551664032042,1
499,0,96,99,-4.29857182130218,1
500,0,96,100,-5.21802001446486,1
501,0,95,1,18.8289634585381,1
502,0,95,2,18.758769005537,1
503,0,95,3,18.7300954163074,1
504,0,95,4,18.7342724502087,1
505,0,95,5,18.7607026696205,1
506,0,95,6,18.7628149986267,1
507,0,95,7,18.7109427154064,1
508,0,95,8,18.5679318010807,1
509,0,95,9,18.3302145898342,1
510,0,95,10,17.9539470970631,1
511,0,95,11,17.5789407789707,1
512,0,95,12,17.1157278120518,1
513,0,95,13,16.6323952078819,1
514,0,95,14,16.2095942944288,1
515,0,95,15,15.7764578014612,1
516,0,95,16,15.4307346493006,1
517,0,95,17,15.0672567933798,1
518,0,95,18,14.7418841421604,1
519,0,95,19,14.469839066267,1
520,0,95,20,14.0919323861599,1
521,0,95,21,13.5825850814581,1
522,0,95,22,13.0133314877748,1
523,0,95,23,12.3475901186466,1
524,0,95,24,11.7791142165661,1
525,0,95,25,11.1560600847006,1
526,0,95,26,10.5740750133991,1
527,0,95,27,10.1203724890947,1
528,0,95,28,9.73629184067249,1
529,0,95,29,9.66583457589149,1
530,0,95,30,9.97346284985542,1
531,0,95,31,10.4639309048653,1
532,0,95,32,10.9083171486855,1
533,0,95,33,11.2181996405125,1
534,0,95,34,11.0835484713316,1
535,0,95,35,10.5732868164778,1
536,0,95,36,9.94074842333794,1
537,0,95,37,9.46463571488857,1
538,0,95,38,9.33273273706436,1
539,0,95,39,9.57828992605209,1
540,0,95,40,9.87107942998409,1
541,0,95,41,10.2263603806496,1
542,0,95,42,10.5703338384628,1
543,0,95,43,10.8331834375858,1
544,0,95,44,11.109610632062,1
545,0,95,45,11.3872777968645,1
546,0,95,46,11.6217060387135,1
547,0,95,47,11.873447611928,1
548,0,95,48,12.0371401906013,1
549,0,95,49,11.9988403618336,1
550,0,95,50,11.7723044902086,1
551,0,95,51,11.5444969385862,1
552,0,95,52,11.2807959616184,1
553,0,95,53,11.0361951589584,1
554,0,95,54,10.7540511488914,1
555,0,95,55,10.4712870717049,1
556,0,95,56,10.2443097382784,1
557,0,95,57,9.98635731637478,1
558,0,95,58,9.7102032750845,1
559,0,95,59,9.45648594200611,1
560,0,95,60,9.2152848392725,1
561,0,95,61,9.01347640156746,1
562,0,95,62,8.78041441738605,1
563,0,95,63,8.53829358518124,1
564,0,95,64,8.32359597086906,1
565,0,95,65,8.06057813763618,1
566,0,95,66,7.78523866832256,1
567,0,95,67,7.56223893910646,1
568,0,95,68,7.3428700491786,1
569,0,95,69,7.15883217006922,1
570,0,95,70,6.95485886186361,1
571,0,95,71,6.77704766392708,1
572,0,95,72,6.64514996111393,1
573,0,95,73,6.50335278362036,1
574,0,95,74,6.36588016152382,1
575,0,95,75,6.22196017205715,1
576,0,95,76,5.99228203296661,1
577,0,95,77,5.70058537274599,1
578,0,95,78,5.35984346270561,1
579,0,95,79,5.01970051974058,1
580,0,95,80,4.74032035470009,1
581,0,95,81,4.45394650101662,1
582,0,95,82,4.18434492871165,1
583,0,95,83,3.95307990163565,1
584,0,95,84,3.6851018704474,1
585,0,95,85,3.44082679599524,1
586,0,95,86,3.18963162600994,1
587,0,95,87,3.0000240765512,1
588,0,95,88,2.83175490796566,1
589,0,95,89,2.55124499648809,1
590,0,95,90,2.21814311854541,1
591,0,95,91,1.86965612508357,1
592,0,95,92,1.38739035278559,1
593,0,95,93,0.897941692732275,1
594,0,95,94,0.29958887671819,1
595,0,95,95,-0.570251904340694,1
596,0,95,96,-1.8053519250825,1
597,0,95,97,-3.25286389514804,1
598,0,95,98,-4.11979374289513,1
599,0,95,99,-5.00246592611074,1
600,0,95,100,-5.76753780990839,1
601,0,94,1,19.2359012961388,1
602,0,94,2,19.1818117201328,1
603,0,94,3,19.1579930186272,1
604,0,94,4,19.1603839695454,1
605,0,94,5,19.1790686845779,1
606,0,94,6,19.1662636399269,1
607,0,94,7,19.0801795423031,1
608,0,94,8,18.8868886232376,1
609,0,94,9,18.5946193039417,1
610,0,94,10,18.1534539759159,1
611,0,94,11,17.7267174422741,1
612,0,94,12,17.218210965395,1
613,0,94,13,16.7078387141228,1
614,0,94,14,16.2666842341423,1
615,0,94,15,15.7992884218693,1
616,0,94,16,15.4302670061588,1
617,0,94,17,15.0651707649231,1
618,0,94,18,14.7573217749596,1
619,0,94,19,14.4967526346445,1
620,0,94,20,14.1279989928007,1
621,0,94,21,13.6216046363115,1
622,0,94,22,13.057889342308,1
623,0,94,23,12.3804043978453,1
624,0,94,24,11.7919614166021,1
625,0,94,25,11.1348373144865,1
626,0,94,26,10.4798991680145,1
627,0,94,27,9.90956328809261,1
628,0,94,28,9.34407180547714,1
629,0,94,29,9.11965344846249,1
630,0,94,30,9.39072620868683,1
631,0,94,31,9.78719185292721,1
632,0,94,32,10.0793034732342,1
633,0,94,33,10.2098562270403,1
634,0,94,34,9.98364070057869,1
635,0,94,35,9.5278679728508,1
636,0,94,36,8.94627691805363,1
637,0,94,37,8.51148003339767,1
638,0,94,38,8.42382486909628,1
639,0,94,39,8.69244396686554,1
640,0,94,40,9.02732181549072,1
641,0,94,41,9.43790622055531,1
642,0,94,42,9.82495574653149,1
643,0,94,43,10.1059333831072,1
644,0,94,44,10.3795702010393,1
645,0,94,45,10.6416580677032,1
646,0,94,46,10.848862811923,1
