PKUID,ID,ROW,COL,BORDER,ACTIVE,TOP,BOTTOM,THICKNESS,STRT,KX,KY,KZ,SS,SY,NT,NE,WETDRY
217,0,98,17,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
218,0,98,18,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
219,0,98,19,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
220,0,98,20,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
221,0,98,21,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
222,0,98,22,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
223,0,98,23,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
224,0,98,24,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
225,0,98,25,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
226,0,98,26,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
227,0,98,27,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
228,0,98,28,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
229,0,98,29,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
230,0,98,30,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
231,0,98,31,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
232,0,98,32,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
233,0,98,33,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
234,0,98,34,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
235,0,98,35,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
236,0,98,36,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
237,0,98,37,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
238,0,98,38,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
239,0,98,39,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
240,0,98,40,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
241,0,98,41,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
242,0,98,42,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
243,0,98,43,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
244,0,98,44,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
245,0,98,45,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
246,0,98,46,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
247,0,98,47,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
248,0,98,48,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
249,0,98,49,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
250,0,98,50,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
251,0,98,51,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
252,0,98,52,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
253,0,98,53,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
254,0,98,54,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
255,0,98,55,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
256,0,98,56,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
257,0,98,57,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
258,0,98,58,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
259,0,98,59,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
260,0,98,60,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
261,0,98,61,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
